Title,Company,Job Type,Location,Link
Property Sales Advisor,The Address Investments for Real Estate Consultancy -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/The-Address-for-Realstate-Consultancy-Egypt-28523
Marketing And Social Media Manager,Misr Italia For Ready Made Clothes -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Misr Italia For Ready Made Clothes-Egypt-126126
Facility Engineer (Electrical),Egypro FME -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Egypro-FME-Egypt-8429
Human Resource Administrative Assistant - INTERN,Speakup -,InternshipOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Direct-English-Egypt-16910
Offsites and Utilities Engineer,Confidential -,Full TimeShift BasedOn-site,"Port Said, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/OG0pSaRUDHH8-Offsites-and-Utilities-Engineer-Port-Said-Egypt
Procurement Engineer,Modern Interiors Design – Construction -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Modern-Interiors-Design-–-Construction-Egypt-41199
Limo Dispatcher,aDispatcher -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-113391
IT Help Desk Specialist,Egypro FME -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Egypro-FME-Egypt-8429
Salesforce Developer,Cloudzlab -,Full TimeHybrid,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Cloudzlab-Egypt-126121
Administrative Officer,Delta Research Spain S.L.U. -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Delta Research Spain S.L.U.-Spain-124960
Video Editor,Amer Vision Group -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Amer-vision-Egypt-64043
Sales Engineer (EGE- 3Brothers sister company),3Brothers -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/3Brothers-Egypt-14192
NET Programmer,Confidential -,Full TimeRemote,"Sur, Oman",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/5mzTmRGWKg4f-NET-Programmer-Sur-Oman
Sales Executive,Niche Magazine -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Niche-Magazine-Egypt-Egypt-125341
Business & Economics teacher,Egypt Education Platform -,Full TimeOn-site,"Madinaty, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/GEMS-Education-Egypt-42339
Senior Accountant - Port Said Residents ONLY,Confidential -,Full TimeOn-site,"Port Said, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/2JXqZnoVG85t-Senior-Accountant---Port-Said-Residents-ONLY-Port-Said-Egypt
Electrical Technician,Confidential -,Full TimeOn-site,"`Ibri, Oman",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/9hIMdu19mB8M-Electrical-Technician-Ibri-Oman
Market Research Analyst,Confidential -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/aiwesH13MjcT-Market-Research-Analyst-Cairo-Egypt
Global prospective & psychology teacher,Egypt Education Platform -,Full TimeOn-site,"Madinaty, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/GEMS-Education-Egypt-42339
Telesales,Wills business  -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Wills-business-Egypt-106882
Sales Account Manager – Auto Loans,Premium Card -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Premium-Card-Egypt-766
Business Development Executive,Chloride -,Full TimeOn-site,"Abu Rawash, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Chloride-Egypt-30196
Cost Accountant Construction,ESC -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ESG-Egypt-56821
Marketing Manager,dejavu -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Oxygen-trading-Egypt-10747
Summer Camp Instructors,KidZania Cairo -,Full TimePart TimeFreelance / ProjectOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/KidZania-Cairo-Egypt-9255
Customer Support Advisor (Arabic Account),Etisalat Egypt -,Full TimeOn-site,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Etisalat-Egypt-Egypt-109452
Sales Account Executive,Kaizen -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Kaizen-Egypt-34145
Graphic Designer,Amer Vision Group -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Amer-vision-Egypt-64043
Product Manager (Logistics Background),Algoriza -,Full TimeHybrid,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Algoriza-Egypt-58919
Marketing Executive,Comsys Software -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/comsys-software-Egypt-9366
